tip,dataset,n_clienti,strategie,auc,f1,precision,recall,n_runde,diff_vs_lr,mu,obs
centralizat,OULAD,22,LR,0.7737,,,,,,,
centralizat,OULAD,22,RF,0.7944,,,,,,,
centralizat,OULAD,22,GBT,0.7958,0.8744,0.8038,0.9585,,,,cel mai bun
FL,OULAD,22,FedAvg,0.7881,0.7873,0.9056,0.6978,10,0.0145,,cel mai bun
FL,OULAD,22,FedProx,0.7744,0.7826,0.9004,0.6941,10,0.0008,0.1,
FL,OULAD,22,FedAdam,0.7781,0.8313,0.8758,0.7935,10,0.0045,,
FL,OULAD,22,FedMedian,0.7855,0.7746,0.9205,0.6714,10,0.0118,,
centralizat,XAPI,4,LR,0.991,0.964,0.9853,0.9437,,,,cel mai bun
centralizat,XAPI,4,RF,0.9848,,,,,,,
centralizat,XAPI,4,GBT,0.9825,,,,,,,
FL,XAPI,4,FedAvg,0.6609,0.6474,0.6599,0.6354,10,-0.3301,,
FL,XAPI,4,FedProx,0.6481,0.635,0.6472,0.6232,10,-0.3428,0.1,
FL,XAPI,4,FedAdam,0.7992,0.7529,0.8236,0.6953,10,-0.1917,,cel mai bun
FL,XAPI,4,FedMedian,0.3334,0.0,0.0,0.0,10,-0.6576,,
mu_analysis,OULAD,,FedProx,0.7881,,,,,,0 (FedAvg ref),referinta FedAvg
mu_analysis,OULAD,,FedProx,0.7847,,,,,,0.01,
mu_analysis,OULAD,,FedProx,0.79,,,,,,0.1,
mu_analysis,OULAD,,FedProx,0.7917,,,,,,1.0,
